Title,Actual Price,Description,Available Colors
Haggar® Men’s Smart Wash® With Repreve® Suit Separate Pant,$100,"Smart Wash™ makes it easy to elevate your style without the hassle of dry cleaning. We’ve re-imagined how suits and blazers are constructed by using innovative fabrics designed for home washing machines that make caring for your garments as easy as 1, 2, 3.
Front Style: Flat Front
Features: Stretch Fabric, Comfort Waistband, Shirt Gripper Waistband
Closure Type: Zipper, Hook & Eye
Fit: Classic Fit
Pockets: 2 Back Button Pockets, 2 Front Slip Pockets
Rise: At Waist
Fiber Content: 78% Polyester, 22% Recycled Polyester
Fabric Description: Woven
Inseam: 32 In, 30 In, 29 In
Leg Style: Straight Leg","""Charcoal"" , ""Black"" , ""Navy"" "
Stafford Grenadine Solid Tie,$34,"The Stafford Grenadine Solid Tie exemplifies the brand's tradition of excellence and refined design. Constructed from luxurious polyester, it ensures a smooth texture and a polished drape. The vibrant red color adds a bold accent to any formal outfit. Pair it with a black suit and a white shirt for a sleek, professional look.
Measurements: 3 Width/Inches, 58 Length/Inches
Base Material: 100% Polyester
Fabric Description: Woven
Lining Material: Polyester
Care: Spot Clean
Tie Width: Classic Width Tie
Country of Origin: Imported","""Powder Pink"" , ""Black"" , ""Navy"" , ""Yellow"" , ""Red"" , ""Charcoal"" , ""Burgundy"" , ""Black Salt"" , ""Navy Salt"" , ""Burgundy Salt"" , ""Red Salt"" , ""Lime Oxf"" , ""Mint Oxf"" , ""Periwinkle Oxf"" , ""Baby Blue Oxf"" , ""Lilac Oxf"" , ""Tangerine Oxf"" , ""Buff Oxf"" , ""Cream Oxf"" , ""White Oxf"" , ""Aqua Oxf"" , ""Turquoise Oxf"" , ""Taupe Oxf"" , ""Purple Oxf"" , <li class=""pAB7b ZJnQ-"" data-automation-id=""list-item-24""><button type=""button"" class=""LmXbm _3x83p wDz7z yJB3x PI6hD xMnR5 GW-hU d4AAW Qlzj1 jzWX1 EN8V4 iTEh- pNS1l sZu02""><span>+5</span></button></li>"
Haggar® Mens Comfort Cargo Classic Fit Pant,$70,"No guy's casual wardrobe is complete without a favorite pair of cargo pants. Haggar's Stretch Comfort Cargo Pants live up to their name with fabric that gives a little — and a hidden expandable waistband that gives a little more. They not only feature cargo pockets on the thighs,but there's an extra tech pocket for your phone. A flat front and classic fit complete the look.
Front Style: Flat Front
Features: Stretch Fabric, Hidden Expandable Waistband expands up to 3"", Cell phone pocket
Closure Type: Button closure with zipper
Pockets: 2 off seam front pockets, 2 single welt back pockets, 2 cargo pockets
Fit: Classic
Rise: At Waist
Fabric Content: 99% Cotton, 1% Spandex","""Khaki"" , ""Putty"" "
Xersion Everultra-Lite Mens Moisture Wicking Lightweight Track Jacket,$24.99,"Cover up for workouts in style with this Xersion EverUltra™ Lite men's lightweight track jacket. Made from a lightweight knit with QuickDri technology and 4-way stretch for all-day comfort, this two-tone jacket has a full zip closure, two pockets, and a hooded neck with a drawstring closure. Style it with a tee and track pants.
Features: Dri Fit, Hooded, Moisture Wicking, Stretch Fabric
Closure Type: Zipper
Fit: Classic Fit
Neckline: Hooded Neck
Pockets: 2 Side Slip Pockets
Sleeve Length: Long Sleeve
Warmth Factor: Lightweight
Apparel Length: 28 Inches
Outerwear Length: Short
Fiber Content: 87% Polyester, 13% Spandex","""Signature Navy"" , ""Black"" "
J. Ferrar Ultra Comfort Mens Super Slim Fit Suit Jacket,$99.99,"J. Ferrar's smart suiting is always made with your lifestyle in mind. This men's lined super slim-fit suit jacket is made from a woven blend with a touch of stretch for added comfort and mobility. This single-breasted style has multiple pockets, sharp notched lapels, and fastens with a button - style it with a pair of suit pants and a dress shirt.
Front Style: Single Breasted
Features: Stretch Fabric
Closure Type: Button
Fit: Super Slim Fit
Pockets: 1 Chest Slip Pocket, 1 Inside Button Pocket, 2 Front Flap Pockets
Sleeve Length: Long Sleeve
Sleeve Style: Fitted Sleeve
Fiber Content: 66% Polyester, 31% Viscose, 3% Spandex
Fabric Description: Woven","""Charcoal Eoe"" "
Levi's® Big and Tall Mens 502™ Regular Tapered Fit,$69.50,"Our designers challenged themselves to get the same looks we all love, but using less water in the finishing stage. That’s why Levi’s developed more than 20 innovative techniques that do just that: use less of our world’s precious natural resource. Through 2019, 69% of Levi’s bottoms were made waterless. The most versatile of our tapered fits, the Levi's® 502™ Regular Taper Fit Jeans are a tailor-inspired fit with a modern slimmer cut.
Levis Style: 502
Features: Stretch Fabric
Closure Type: Button & Zipper
Pockets: 1 Front Coin Pocket
Rise: At Waist
Fiber Content: 98% Cotton, 2% Elastane
Fabric Description: Denim
Inseam: 32 In","""Rosefinch"" , ""Tanager"" , ""Native Cali"" , ""True Chino"" , ""Crying Sky"" , ""Davie Ivy"" , ""Clean Run Adv"" , ""Tidal Wave Adv"" "
Stafford Coolmax All Season Mens Big and Tall Stretch Fabric Regular Fit Sport Coat,$220,"This Stafford men's big and tall Coolmax sport coat is a stylish classic that you'll wear season after season. Cut for a regular-fit from a recycled stretch-wool blend, this lined single-breasted style has multiple pockets, sharp notch lapels, and a two-button closure. Pair it with suit pants and a dress shirt.
Fiber content 52% wool, 24% coolmax all season ecomade recycled polyester, 21% polyester, 3% lycra spandex. 
Front Style: Single Breasted
Features: Stretch Fabric, Lined
Closure Type: Button
Fit: Regular Fit
Pockets: 1 Inside Button Pocket, 1 Chest Slip Pocket, 2 Front Flap Pockets, 1 Inside Zip Pocket, 1 Inside Slip Pocket
Sleeve Length: Long Sleeve
Fiber Content: 51% Wool, 47% Polyester, 2% Spandex","""Black"" , ""Navy"" , ""Gray"" "
New!Ely Cattleman Stripe Big and Tall Mens Short Sleeve Western Shirt,$42,"A new plaid is the perfect shirt for your next outing. Always in style and always looking good!
Closure Type: Snap
Fit: Classic Fit
Neckline: Collar Neck
Pockets: 2 Chest Snap Pockets
Sleeve Length: Short Sleeve
Sleeve Style: Cuffed Sleeve
Fiber Content: 65% Polyester, 35% Cotton
Fabric Description: Woven
Collar: Point Collar
Care: Tumble Dry, Machine Wash
Country of Origin: Imported","""Chambray"" , ""Black"" , ""Navy"" , ""Rust"" "
Arizona Mens V Neck Short Sleeve T-Shirt,$9.99,"Deemed a Gotta-Have-It item for value you can count on every day!
Closure Type: Pullover Head
Fit: Regular Fit
Neckline: V Neck
Sleeve Length: Short Sleeve
Apparel Length: 28.5 Inches
Fiber Content: 60% Cotton, 40% Recycled Polyester
Fabric Description: Jersey
Care: Tumble Dry, Machine Wash
Country of Origin: Imported","""French Bread"" , ""Kidney Bean"" , ""Navy Shadow"" , ""Smoked Pearl"" "
PGA TOUR Mens Short Sleeve Polo Shirt,$37.20,"Features: Moisture Wicking, Uv Protection, Stretch Fabric, Easy Care
Closure Type: Pullover Head, Button
Fit: Regular Fit
Neckline: Collar Neck
Sleeve Length: Short Sleeve
Sleeve Style: Fitted Sleeve
Apparel Length: 12 Inches
Fiber Content: 100% Polyester
Fabric Description: Interlock
Collar: Spread Collar
Care: Tumble Dry, Machine Wash
Material: Polyester
Country of Origin: Imported","""Iron Gate"" , ""Peacoat"" "
